# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
49 1 0.112509054797263 0.0689270089795955 0.000144881020823959 165.079592323303 7.17931668758392 246.455703735352 269.260739135742 276.11427154541 257.514177703857 5197.75029296875 1170.40440063477 159.172859954834 4.270228068 4.363750912 3.31332419528652e-08 2190 0.0752545350492001
49 2 0.187555884200225 0.129913828120123 0.000140739592206955 129.792783737183 9.67511472702026 246.621089935303 268.529397583008 275.698419189453 255.851898193359 5198.94133300781 1167.10194702148 169.922242736816 3.489758864 3.364460023 2.90704798986546e-08 2920 0.103390913844109
49 3 0.334325943577262 0.256118430303216 0.000130378478097555 87.9991636276245 8.88897898197174 247.493185424805 269.506440734863 275.519477844238 260.209864044189 5214.56682128906 1171.50186767578 165.584771728516 3.559319154 3.736344933 5.35531911843856e-08 3650 0.113990854293108
49 4 0.617863021607204 0.539431826182537 0.000132248146401253 43.4055335044861 10.1233580589294 249.210981750488 270.736555480957 275.733267211914 267.832795715332 5249.13283691406 1176.90424194336 144.807510757446 3.273379788 4.166374737 1.49218868372714e-07 4380 0.0892816116139293
49 5 1.15329613871761 1.05789539282406 0.000114560287292989 31.5738280296326 10.9858070850372 252.656510162354 273.576057434082 276.574261474609 276.329997253418 5316.22678222656 1190.02813110352 94.4165153503418 2.807254657 4.084738494 5.52835153100339e-08 5110 0.0314143301201984
49 6 1.67852543749419 1.47368906152198 0.000117365342921403 27.1110597610474 13.9918365716934 256.536936950684 276.983085632324 278.261769104004 280.126486206055 5390.59282226562 1206.08221435547 57.0746309280396 2.745016587 3.911914397 2.85343864786514e-09 5840 0.00173682455532253
49 7 1.99232042539035 1.42618539015969 0.000114905002556043 29.0431115627289 8.81408091783524 259.811135864258 280.307691955566 280.206776428223 280.956344604492 5451.18549804688 1221.95452270508 37.9843921661377 2.397105459 4.05368868 5.24464104367794e-09 6570 0
49 8 1.64597168204255 1.15871060432545 0.000131947459703952 39.105743598938 12.0467273235321 259.198738098145 279.790986633301 281.538508605957 279.75827331543 5441.12604980469 1218.93751831055 33.7618329048157 2.0 3.627818661 1.20466175534961e-08 7300 0
49 9 0.852987827582783 0.595615413769721 0.0001382473943886 55.470198059082 9.56009221076965 255.35690612793 276.801629638672 281.236195373535 276.738781738281 5370.97197265625 1204.47092285156 41.2733394622803 2.513913756 3.405548333 8.24712639291292e-09 8030 0
49 10 0.371921656230518 0.240989810333134 0.000175142197986133 65.1312673568726 9.85957612991333 251.919236755371 274.08159942627 279.946968078613 270.687268066406 5303.86520996094 1191.83347167969 71.1889322280884 2.741921344 3.671101289 1.71727267572752e-08 8760 3.28115253068972e-07
49 11 0.167671503419114 0.0938206502071737 0.00020400111352501 173.376549530029 7.79915925264359 248.757006072998 271.572760009766 278.311734008789 264.189347839355 5242.53383789063 1180.58432006836 108.937715530396 3.309139645 4.900550205 4.38810082865546e-08 730 0.00281213569267129
49 12 0.102520614482713 0.0603724730420691 0.000161514810752124 282.251312828064 6.73581994771957 245.870324707031 269.103237915039 277.055212402344 257.060368347168 5187.47634277344 1169.53922119141 141.593895339966 3.543790596 3.873881134 1.63734605755639e-08 1460 0.0351202849692199
